,0
0,-0.0057785035750408916
1,-0.011048927747993001
2,-0.015373606739871915
3,-0.018579343858248332
4,-0.020630981579073487
5,-0.021618329125019559
6,-0.021728733840982947
7,-0.021208285612538482
8,-0.020319449181269864
9,-0.019302985135242305
10,-0.018350477846890315
11,-0.017591284166559407
12,-0.017095085363462534
13,-0.016889316760597541
14,-0.016990165406018123
15,-0.017446699235615464
16,-0.018399578852903744
17,-0.02015772651535009
18,-0.023296971507300104
19,-0.028782750074688546
20,-0.038113549527235377
21,-0.053472969564570781
22,-0.077867232622336996
23,-0.11521411438522339
24,-0.17034182478712695
25,-0.24885568374944539
26,-0.35683900108589123
27,-0.50037320557961684
28,-0.68488966275151564
29,-0.91439841527820143
30,-1.1906724217204956
31,-1.5124941904024136
32,-1.8750894349335931
33,-2.2698744239438091
34,-2.6846257946203922
35,-3.1041408795008092
36,-3.5113928083963755
37,-3.8891021277943443
38,-4.2215563995033101
39,-4.4964294190292078
40,-4.7063052625049764
41,-4.8496206649485147
42,-4.9308135226768126
43,-4.9595997306576605
44,-4.9494701217331514
45,-4.9156645649796458
46,-4.8729975469017788
47,-4.8339429782598238
48,-4.8073191759000196
49,-4.7977596001042428
50,-4.8059533512616932
51,-4.8294568978995098
52,-4.8637808768557429
53,-4.9034774092683016
54,-4.943072773016759
55,-4.9778356417084391
56,-5.0044600307044345
57,-5.0217315076924267
58,-5.0311547851034826
59,-5.0374140086876693
60,-5.0484788872980069
61,-5.0751933467792778
62,-5.1302818805227917
63,-5.2268476339044252
64,-5.3765713433826807
65,-5.587913243260723
66,-5.8646480452184004
67,-6.2050217754888974
68,-6.6017203815497814
69,-7.04270524374434
70,-7.5128247785206019
71,-7.9959771658483394
72,-8.4774961528037487
73,-8.9463755525024915
74,-9.3969505538590656
75,-9.8297218787494671
76,-10.251139345018489
77,-10.6723383709194
78,-11.107016278491228
79,-11.568805675634263
80,-12.068611046787625
81,-12.612394952815627
82,-13.199824543126448
83,-13.824031446704804
84,-14.472529660193592
85,-15.129117186784342
86,-15.776399432549653
87,-16.398451758416055
88,-16.983110325841711
89,-17.523454075155556
90,-18.018206346001062
91,-18.471011474012187
92,-18.888782113857683
93,-19.279512877171157
94,-19.650068227429745
95,-20.004450678639529
96,-20.34293979399845
97,-20.662290513284148
98,-20.956937182851597
99,-21.220921104650504
100,-21.450094004417085
101,-21.64408298375939
102,-21.807548744408166
103,-21.95041846197562
104,-22.086995040722105
105,-22.234086531082081
106,-22.408508838908229
107,-22.624445183740036
108,-22.891170549017659
109,-23.211567953689876
110,-23.581699443508921
111,-23.991488120379191
112,-24.426362980031836
113,-24.869554752443651
114,-25.304634628076698
115,-25.717869756708236
116,-26.100026209201292
117,-26.447366063848634
118,-26.761736024880044
119,-27.049801557126589
120,-27.32161458251711
121,-27.588792106556092
122,-27.862616119318027
123,-28.15234264984478
124,-28.463941853823464
125,-28.799400044117355
126,-29.156618334271037
127,-29.529857200057929
128,-29.910611834970219
129,-30.288763566191662
130,-30.653837106842378
131,-30.996198863699085
132,-31.308053858639848
133,-31.584133917067881
134,-31.822013435506424
135,-32.022036821446299
136,-32.186888865987733
137,-32.320881095567529
138,-32.429059230337742
139,-32.516255890219632
140,-32.586216636565993
141,-32.640915927465308
142,-32.680153909858724
143,-32.701488141801278
144,-32.700510749769407
145,-32.671436600767066
146,-32.60792753931581
147,-32.504046786453955
148,-32.355220038506296
149,-32.159077576843295
150,-31.916064797813863
151,-31.629735348291945
152,-31.306678672117037
153,-30.956078539594273
154,-30.588946575311965
155,-30.217119631009318
156,-29.852146065268354
157,-29.504207387578639
158,-29.181222947430705
159,-28.888263317707093
160,-28.62735333156812
161,-28.397683548593562
162,-28.196178927585905
163,-28.018308630925098
164,-27.858975077957311
165,-27.713305350435402
166,-27.577190232549277
167,-27.447474120838717
168,-27.321782606078983
169,-27.198066046354231
170,-27.074015205608863
171,-26.946548332063358
172,-26.811563688474365
